Sufijo,Número,frec_afijada,frec_pseudoafijada,count_afijada,count_pseudoafijada,prop_frec_afij,prop_count_afij
 aca ,Total,199.0,1223.0,13.0,53.0,0.139943741209564,0.19696969696969696
 aca ,plural ,0.0,18.0,0.0,4.0,0.0,0.0
 aca ,singular ,199.0,1205.0,13.0,49.0,0.14173789173789172,0.20967741935483872
 acha ,Total,11.0,1120.0,2.0,28.0,0.009725906277630416,0.06666666666666667
 acha ,plural ,2.0,5.0,1.0,2.0,0.2857142857142857,0.3333333333333333
 acha ,singular ,9.0,1115.0,1.0,26.0,0.00800711743772242,0.037037037037037035
 acho ,Total,12.0,2562.0,6.0,36.0,0.004662004662004662,0.14285714285714285
 acho ,plural ,5.0,9.0,3.0,3.0,0.35714285714285715,0.5
 acho ,singular ,7.0,2553.0,3.0,33.0,0.002734375,0.08333333333333333
 aco ,Total,257.0,1712.0,17.0,59.0,0.13052310817673946,0.2236842105263158
 aco ,plural ,5.0,22.0,4.0,9.0,0.18518518518518517,0.3076923076923077
 aco ,singular ,252.0,1690.0,13.0,50.0,0.12976313079299692,0.20634920634920634
 ada ,Total,21931.0,17911.0,681.0,158.0,0.5504492746348075,0.8116805721096544
 ada ,plural ,256.0,105.0,79.0,18.0,0.7091412742382271,0.8144329896907216
 ada ,singular ,21675.0,17806.0,602.0,140.0,0.5489982523239026,0.8113207547169812
 ado ,Total,47366.0,13810.0,914.0,282.0,0.7742578789067608,0.7642140468227425
 ado ,plural ,708.0,263.0,106.0,41.0,0.729145211122554,0.7210884353741497
 ado ,singular ,46658.0,13547.0,808.0,241.0,0.774985466323395,0.7702573879885606
 agoga ,Total,16.0,0.0,2.0,0.0,1.0,1.0
 agoga ,singular ,16.0,0.0,2.0,0.0,1.0,1.0
 agogia ,Total,25.0,0.0,1.0,0.0,1.0,1.0
 agogia ,singular ,25.0,0.0,1.0,0.0,1.0,1.0
 agogo ,Total,14.0,0.0,4.0,0.0,1.0,1.0
 agogo ,plural ,1.0,0.0,1.0,0.0,1.0,1.0
 agogo ,singular ,13.0,0.0,3.0,0.0,1.0,1.0
 aja ,Total,44.0,3524.0,8.0,33.0,0.01233183856502242,0.1951219512195122
 aja ,plural ,16.0,9.0,3.0,3.0,0.64,0.5
 aja ,singular ,28.0,3515.0,5.0,30.0,0.007902907140841095,0.14285714285714285
 ajo ,Total,43.0,15867.0,21.0,44.0,0.002702702702702703,0.3230769230769231
 ajo ,plural ,12.0,17.0,7.0,5.0,0.41379310344827586,0.5833333333333334
 ajo ,singular ,31.0,15850.0,14.0,39.0,0.0019520181348781562,0.2641509433962264
 al ,Total,30094.0,27009.0,315.0,251.0,0.5270125912824195,0.5565371024734982
 al ,plural ,521.0,172.0,47.0,34.0,0.7518037518037518,0.5802469135802469
 al ,singular ,29573.0,26837.0,268.0,217.0,0.5242510193228151,0.5525773195876289
 algia ,Total,156.0,0.0,3.0,0.0,1.0,1.0
 algia ,plural ,1.0,0.0,1.0,0.0,1.0,1.0
 algia ,singular ,155.0,0.0,2.0,0.0,1.0,1.0
 ambre ,Total,24.0,727.0,3.0,13.0,0.03195739014647137,0.1875
 ambre ,singular ,24.0,727.0,3.0,13.0,0.03195739014647137,0.1875
 ambrera ,Total,11.0,0.0,2.0,0.0,1.0,1.0
 ambrera ,singular ,11.0,0.0,2.0,0.0,1.0,1.0
 amen ,Total,58.0,168.0,9.0,4.0,0.25663716814159293,0.6923076923076923
 amen ,singular ,58.0,168.0,9.0,4.0,0.25663716814159293,0.6923076923076923
 ana ,Total,2838.0,9833.0,93.0,169.0,0.2239760082077184,0.3549618320610687
